Dataset,Classifier,alpha,Base_F1_mean,Base_AUC_mean,KM_F1_mean,KM_AUC_mean,CAC_F1_mean,CAC_AUC_mean
titanic,Perceptron,0.5,0.6822591421593206,0.8051509188035284,0.7316456326578719,0.7168061813902108,0.7897213845857494,0.8420410386999093
titanic,Perceptron,0.8,0.6822591421593206,0.8051509188035284,0.7316456326578719,0.7168061813902108,0.7871512731613777,0.803252333522965
titanic,Perceptron,1.0,0.6822591421593206,0.8051509188035284,0.7316456326578719,0.8071503177082864,0.7832360560314089,0.7136835800049967
titanic,RF,0.01,0.805063476287579,0.8873858872188553,0.80956708323957,0.8976091360321229,0.80956708323957,0.8976091360321229
titanic,RF,0.02,0.805063476287579,0.8873858872188553,0.80956708323957,0.8976091360321229,0.80956708323957,0.8976091360321229
titanic,RF,0.05,0.805063476287579,0.8873858872188553,0.80956708323957,0.8976091360321229,0.8099371109916514,0.898364351655364
titanic,RF,0.08,0.805063476287579,0.8873858872188553,0.80956708323957,0.8976091360321229,0.8013759611550675,0.8964087375046279
titanic,RF,0.1,0.805063476287579,0.8873858872188553,0.80956708323957,0.8976091360321229,0.8020897301446986,0.8953618503234273
titanic,RF,0.15,0.805063476287579,0.8873858872188553,0.80956708323957,0.8976091360321229,0.793377973254547,0.8900660098789066
titanic,RF,0.2,0.805063476287579,0.8873858872188553,0.80956708323957,0.8976091360321229,0.7990309148811712,0.8504885272843843
titanic,RF,0.3,0.805063476287579,0.8873858872188553,0.80956708323957,0.8976091360321229,0.7922435172130987,0.8395073489794506
titanic,RF,0.5,0.805063476287579,0.8873858872188553,0.80956708323957,0.8976091360321229,0.7922435172130987,0.8399547894035031
titanic,RF,0.8,0.805063476287579,0.8873858872188553,0.80956708323957,0.8976091360321229,0.7922435172130987,0.8400661603802264
titanic,RF,1.0,0.805063476287579,0.8873858872188553,0.80956708323957,0.8976091360321229,0.7922435172130987,0.839887966817469
titanic,KNN,0.01,0.7901111303018263,0.8907814320095652,0.7905616903180702,0.8766217269725456,0.7905616903180702,0.8766217269725456
